Poland	hasNeighbor	Slovakia
Denmark	hasNeighbor	Germany
Swaziland	hasNeighbor	Mozambique
China	hasNeighbor	Laos
Mali	hasNeighbor	Niger
Turkey	hasNeighbor	Iraq
Greece	hasNeighbor	Turkey
Iraq	hasNeighbor	Turkey
Bolivia	hasNeighbor	Argentina
Liechtenstein	hasNeighbor	Switzerland
South_Africa	hasNeighbor	Mozambique
Montenegro	hasNeighbor	Croatia
Vietnam	hasNeighbor	Cambodia
El_Salvador	hasNeighbor	Guatemala
Algeria	hasNeighbor	Niger
Algeria	hasNeighbor	Libya
Georgia_(country)	hasNeighbor	Armenia
Collectivity_of_Saint_Martin	hasNeighbor	Spain
Central_African_Republic	hasNeighbor	Cameroon
Afghanistan	hasNeighbor	Tajikistan
Turkey	hasNeighbor	Greece
Saudi_Arabia	hasNeighbor	Jordan
Benin	hasNeighbor	Niger
Suriname	hasNeighbor	Guyana
Jordan	hasNeighbor	State_of_Palestine
Bangladesh	hasNeighbor	India
Latvia	hasNeighbor	Russia
Argentina	hasNeighbor	Bolivia
North_Korea	hasNeighbor	China
Burkina_Faso	hasNeighbor	Ghana
Iraq	hasNeighbor	Kuwait
Libya	hasNeighbor	Sudan
Colombia	hasNeighbor	Ecuador
Zimbabwe	hasNeighbor	Zambia
Laos	hasNeighbor	Thailand
Armenia	hasNeighbor	Azerbaijan
Portugal	hasNeighbor	Spain
Djibouti	hasNeighbor	Maakhir
Kenya	hasNeighbor	Tanzania
Hungary	hasNeighbor	Slovenia
Israel	hasNeighbor	Syria
Cabeça_do_Cachorro	hasNeighbor	Peru
Georgia_(country)	hasNeighbor	Russia
Romania	hasNeighbor	Bulgaria
Namibia	hasNeighbor	Angola
Iran	hasNeighbor	Pakistan
Niger	hasNeighbor	Libya
Spain	hasNeighbor	Morocco
Luxembourg	hasNeighbor	Belgium
Niger	hasNeighbor	Benin
Peru	hasNeighbor	Cabeça_do_Cachorro
Bulgaria	hasNeighbor	Romania
Zambia	hasNeighbor	Zimbabwe
Kyrgyzstan	hasNeighbor	Tajikistan
Uzbekistan	hasNeighbor	Turkmenistan
Hungary	hasNeighbor	Slovakia
China	hasNeighbor	North_Korea
Cambodia	hasNeighbor	Laos
Slovenia	hasNeighbor	Hungary
Chile	hasNeighbor	Peru
Zambia	hasNeighbor	Angola
Bulgaria	hasNeighbor	Czechoslovakia
South_Africa	hasNeighbor	Namibia
Azerbaijan	hasNeighbor	Russia
Armenia	hasNeighbor	Georgia_(country)
Serbia	hasNeighbor	Croatia
Luxembourg	hasNeighbor	Germany
Ethiopia	hasNeighbor	Djibouti
Israel	hasNeighbor	Egypt
Mali	hasNeighbor	Algeria
Kuwait	hasNeighbor	Saudi_Arabia
Kenya	hasNeighbor	Ethiopia
Georgia_(country)	hasNeighbor	Azerbaijan
Zimbabwe	hasNeighbor	Mozambique
Benin	hasNeighbor	Nigeria
South_Africa	hasNeighbor	Swaziland
Ethiopia	hasNeighbor	Eritrea
Thailand	hasNeighbor	Burma
Moldova	hasNeighbor	Ukraine
Iraq	hasNeighbor	Syria
Syria	hasNeighbor	Iraq
Laos	hasNeighbor	Burma
Turkey	hasNeighbor	Syria
Vietnam	hasNeighbor	China
The_Gambia	hasNeighbor	Senegal
Collectivity_of_Saint_Martin	hasNeighbor	Luxembourg
Democratic_Republic_of_the_Congo	hasNeighbor	Sudan
Malaysia	hasNeighbor	Thailand
Kingdom_of_the_Netherlands	hasNeighbor	Germany
Romania	hasNeighbor	Serbia
Chile	hasNeighbor	Bolivia
Kenya	hasNeighbor	Uganda
Costa_Rica	hasNeighbor	Nicaragua
Iran	hasNeighbor	Turkmenistan
Tanzania	hasNeighbor	Uganda
Rwanda	hasNeighbor	Burundi
Collectivity_of_Saint_Martin	hasNeighbor	Germany
Guyana	hasNeighbor	Venezuela
Iran	hasNeighbor	Azerbaijan
Switzerland	hasNeighbor	Italy
Belgium	hasNeighbor	Collectivity_of_Saint_Martin
Kazakhstan	hasNeighbor	Uzbekistan
Mauritania	hasNeighbor	Senegal
